台灣頻道,#genre#
三立臺灣台,https://smart.pendy.dpdns.org/Smart.php?id=sanlitaiwan
三立臺灣台,http://198.16.100.186:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
三立臺灣台,http://50.7.234.10:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
三立都會台,http://live4play.uk/livehttpplay?channel_id=20100
三立都會台,http://108.181.20.197/livehttpplay?channel_id=20100
三立綜合台,https://smart.pendy.dpdns.org/Smart.php?id=sanlizhonghe
三立綜合台,http://198.16.100.186:8278/sanlizhonghe/playlist.m3u8?tid=MF4F9472920894729208&ct=19249&tsum=874aaa2015440b417746e5c11fa40220
三立綜合台,http://50.7.234.10:8278/sanlizhonghe/playlist.m3u8?tid=m3362167a08a014596868&ct=17874&tsum=4472a7c943b67bf52fe5e836ca9f3b6b
三立綜合台,http://live4play.uk/livehttpplay?channel_id=12038
三立戲劇台,https://smart.pendy.dpdns.org/Smart.php?id=sanlixiju_twn
三立戲劇台,http://live4play.uk/livehttpplay?channel_id=10125
三立戲劇台,http://198.16.100.186:8278/sanlixiju_twn/playlist.m3u8?tid=MC3C7351075373510753&ct=19249&tsum=f70fc544635e38b2fd7b4bb39899df0e
三立戲劇台,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?tid=MA8A4626080046260800&ct=19053&tsum=205a453781925ebfb8996c1db8d4ed59
三立戲劇台,http://198.16.100.186:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799
三立新聞台,http://live4play.uk/livehttpplay?channel_id=10126
三立新聞台,http://108.181.20.197/livehttpplay?channel_id=10126
三立LIVE,https://smart.pendy.dpdns.org/youtube.php?id=MV9mI0GChwo
國會頻道1,http://docker.livednow.dpdns.org/4gtv-4gtv084/index.m3u8
國會頻道1,http://docker.livednow.dpdns.org/li-4gtv-4gtv084/index.m3u8
國會頻道1,http://docker.livednow.dpdns.org/of-4gtv-4gtv084/index.m3u8
國會頻道2,http://docker.livednow.dpdns.org/4gtv-4gtv085/index.m3u8
國會頻道2,http://docker.livednow.dpdns.org/li-4gtv-4gtv085/index.m3u8
國會頻道2,http://docker.livednow.dpdns.org/of-4gtv-4gtv085/index.m3u8
大愛1台,https://smart.pendy.dpdns.org/youtube.php?id=MIqUplvSRWA
大愛1台,http://live4play.uk/livehttpplay?channel_id=20032
大愛2台,https://smart.pendy.dpdns.org/youtube.php?id=DTNkEm6jaqQ
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
人間衛視,https://epg.pw/stream/925df6e71c4dd75f935dbe02200a19e3893eea0a125da4d28447546e7a8bd092.m3u8
生命電視台,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
