新聞,#genre#
中視新聞台,https://www.youtube.com/watch?v=TCnaIE_SAtM
中視新聞台,https://www.youtube.com/watch?v=AGdxQWYSrI8
台視新聞台,https://www.youtube.com/watch?v=xL0ch83RAK8
華視新聞台,https://www.youtube.com/watch?v=wM0g8EoUZ_E
民視新聞台,https://www.youtube.com/watch?v=ylYJSBUgaMA
TVBS NEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
東森新聞台,https://www.youtube.com/watch?v=V1p33hqPrUk
東森財經新聞,https://www.youtube.com/watch?v=1I2iq41Akmo
中天新聞台,https://www.youtube.com/watch?v=vr3XyVCR4T0
三立新聞台,https://www.youtube.com/watch?v=MV9mI0GChwo
三立iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
寰宇新聞台灣台,https://www.youtube.com/watch?v=w87VGpgd90U
寰宇新聞台,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞財經台,https://www.youtube.com/watch?v=ZjUbipAlUlc
公視新聞台,https://www.youtube.com/watch?v=quwqlazU-c8
公共電視台,https://www.youtube.com/watch?v=C6gYqSHLRw4
公視台語台,https://www.youtube.com/watch?v=6KlRR_DGhmI
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
大愛一台,https://www.youtube.com/watch?v=MIqUplvSRWA
大愛二台,https://www.youtube.com/watch?v=DTNkEm6jaqQ

娛樂-連播,#genre#
中視經典綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
蠟筆小新TV版,https://www.youtube.com/watch?v=T0J79UaCTAs
新哆啦A夢,https://www.youtube.com/watch?v=dgAEF2ppKg8
我們這一家,https://www.youtube.com/watch?v=WHednLn-HjA
中華一番,https://www.youtube.com/watch?v=JemHjZa_VEU
進擊的巨人S1-S4,https://www.youtube.com/watch?v=g4zpC0WfNx4
神鵰俠侶,https://www.youtube.com/watch?v=Vu_eDZF3PXU
琅琊榜,https://www.youtube.com/watch?v=3dUPAzh7cm8
羋月傳,https://www.youtube.com/watch?v=3elck_jxWQg
包青天,https://www.youtube.com/watch?v=j5t3jpb3jzs
廉政英雄,https://www.youtube.com/watch?v=b35xJXmJ-8I
新兵日記,https://www.youtube.com/watch?v=032kEdR9Lic
台灣奇案,https://www.youtube.com/watch?v=vR19P3As6_g
藍色水玲瓏,https://www.youtube.com/watch?v=rTcTVZBZtYs
新玫瑰瞳鈴眼,https://www.youtube.com/watch?v=qJMFuMRLee4
豆豆先生,https://www.youtube.com/watch?v=NOCisq9ASyM
